,sex,age,ID
0,F,45.96288226403045,2990676
4,F,45.93833884100023,1844713
7,M,46.32923204772232,1469901
10,F,46.104175740870446,1723995
13,M,46.16170638769857,1422861
15,F,45.966259784337524,2197964
16,F,46.963870724592994,2863062
17,M,46.08514898874118,1044166
19,F,45.95229931266888,356886
22,M,45.91041789766294,3069520
28,F,46.880107894581116,351106
30,F,45.966259784337524,1354412
31,F,45.92268960917804,886800
33,F,46.594481009426595,541800
34,M,46.00476367903638,1150676
35,F,46.5374007530388,2271229
36,F,46.48324762651776,2892475
37,M,46.01365787024441,1327642
38,M,46.00814119934346,1028043
43,M,46.275529311641606,435470
46,F,46.426955349402846,336735
48,M,46.17566685936722,369665
49,F,46.095731940102745,2483094
50,M,45.91041789766294,2925063
51,M,45.97515397554555,1984545
52,F,48.818699909144584,5117
56,M,45.98022025600617,2169423
58,F,46.74005278745433,2274115
61,M,46.19345524178327,509212
62,M,45.992491967521275,754495
66,F,45.93665008084669,2705835
68,F,46.147745916029926,847126
69,F,46.17566685936722,838630
77,M,46.29624482392441,1009313
78,M,45.966259784337524,2125629
79,M,46.565772086816416,1249804
80,F,46.07625479753315,1670658
81,F,46.46928715484911,2966058
82,F,46.170600578906594,2437365
83,F,46.07456603737961,1666598
84,M,48.3852492937607,1412522
88,M,46.02210167101211,1210017
90,M,45.91041789766294,1893668
93,M,46.52298989092983,1684062
95,F,46.018724150705026,1814835
98,M,45.985736926907116,1786217
102,F,46.30176149482536,256997
103,M,45.98022025600617,3060108
106,F,46.11982497269263,1917153
108,F,46.215859514219616,2242999
109,M,45.95229931266888,821106
110,F,46.634673664279,452394
113,F,46.00645243918992,2288006
115,F,46.13378544436128,2348945
117,M,45.98022025600617,1880688
118,M,45.96288226403045,379052
120,F,46.631296143971916,934531
121,F,46.36942470257472,2798849
124,M,46.00476367903638,159248
125,F,47.246908068713324,2706750
126,M,46.07625479753315,2361731
129,M,46.315271576053675,1495211
132,M,46.09190402935534,3021903
134,M,46.102486980716904,2674919
135,F,45.93833884100023,224597
137,F,48.193180210706736,2443520
140,M,48.06415844538184,697624
142,M,46.17566685936722,643096
147,F,46.02041291085857,1903467
149,M,45.908729137509404,610354
151,F,46.05891680555743,2889343
152,M,46.02041291085857,383126
153,F,45.93833884100023,146242
154,M,46.4129948777342,2076113
155,F,45.95229931266888,1368914
156,F,46.09190402935534,2175079
165,M,46.00814119934346,2297075
172,F,46.02210167101211,324730
173,F,45.97346521539201,154277
176,F,45.99418072767482,1106212
178,F,46.00645243918992,237739
179,M,46.00645243918992,2517458
183,F,46.16170638769857,2464778
185,F,46.22981998588826,962462
187,M,46.30131110438503,618094
188,F,46.1426796355693,2119685
189,F,47.56844930753251,3016323
194,M,47.28574955224474,881655
200,M,46.3500603616129,918969
206,M,46.077943557686694,1422209
209,F,46.10586450102399,1637829
212,F,46.16170638769857,1411765
214,F,46.038201293274625,2152443
215,F,46.09190402935534,810774
218,F,46.003074918882845,1880644
219,M,46.04833385419586,1863997
220,M,45.966259784337524,1959293
221,F,46.76628497063808,2156938
223,M,46.036062142680755,1318052
226,M,46.23364789663567,1674175
227,M,46.357152991059614,2667824
228,M,47.08275992899665,76074
233,M,46.3559146213464,1763179
238,F,45.98022025600617,1311826
239,M,46.104175740870446,183674
243,M,46.48110847592389,252571
252,M,46.06229432586451,1202321
253,F,45.966259784337524,246553
256,F,46.104175740870446,1873712
257,F,46.036062142680755,2541611
259,M,46.11644745238555,869981
261,F,47.418148837876714,2977673
262,M,45.96457102418398,2839349
263,M,46.3118940557466,1165445
266,F,45.95229931266888,1866455
268,F,46.02041291085857,1354375
274,M,46.04664509404232,2650048
279,F,45.966259784337524,113658
282,M,46.0500226143494,936203
283,M,46.029307102066596,3048421
284,M,46.10800365161785,2390222
286,F,45.992491967521275,361793
289,F,46.67745586016559,2302737
291,F,46.22981998588826,11858
298,M,46.0500226143494,579297
299,M,46.102486980716904,2510014
300,M,45.99418072767482,2953771
301,F,46.16170638769857,1743831
302,M,46.22981998588826,882258
304,F,46.42571697968963,1070683
305,F,46.11982497269263,2954751
306,F,46.63557444515965,2290534
307,F,46.01534663039795,2972262
309,F,45.93833884100023,964080
310,M,47.17113864902882,2412830
312,M,46.04833385419586,1119310
314,F,45.934961320693155,1650469
317,M,46.104175740870446,679790
320,M,45.98022025600617,734609
323,M,45.89645742599429,1746597
325,F,45.98022025600617,728516
326,M,46.00814119934346,678912
331,F,46.32551693858268,1738924
335,M,46.90251216701746,1156132
346,M,46.07625479753315,685368
347,M,46.04664509404232,386515
348,M,48.00550223044827,1481669
351,F,46.07456603737961,616249
358,F,45.89645742599429,384695
362,M,46.12365288344004,193987
363,F,46.03099586222014,2453787
366,M,46.5056518989541,2683187
367,F,46.8284315074865,737752
368,F,46.04664509404232,1976734
369,M,46.15202421721766,1037133
370,F,46.22981998588826,2101574
375,M,46.187938570882324,1817303
376,M,47.550210534676125,1183855
378,F,46.1939056322236,2826044
384,M,46.0500226143494,2484374
385,F,46.69107874300167,2351723
386,M,48.88039605555268,2729352
388,M,46.20358780270451,2537691
389,F,46.00814119934346,2321258
392,F,46.16722305859952,1806
395,M,45.91041789766294,1960721
396,M,46.495068947592536,2028291
397,F,46.13378544436128,487748
399,F,45.966259784337524,2608088
